batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
8,-3.1500000000,-2.1537196636,-2.4898705482,-26.2148513794,-11.1584303379,3.3026999831,43.9551769200,6.0777378082,-3.3130740528,-20.1371135712,-12.4993205667,3.3620779864,1.0000000000
8,-2.9333330000,-1.9702293873,-1.7082129717,-17.1588268280,-4.7057039738,2.1190209687,24.0809539600,2.4726240635,-1.7076656327,-14.6862027645,-6.2651253641,-2.2564831920,1.0000000000
8,-2.5000000000,-1.6360201836,-0.8492586613,-8.1050500870,0.3147084713,0.9375571385,6.8288813700,0.2004259378,-0.4261425683,-7.9046241492,-1.2330132350,-5.2201779428,1.0000000000
8,-2.0666670000,-1.3475911617,-0.4483344555,-4.2307276726,1.3267930467,0.4618352745,1.8236720000,-0.1297868937,-0.1031836465,-4.3605145663,-0.0072972961,-4.4432495133,1.0000000000
8,-1.6333330000,-1.1025353670,-0.2486769855,-2.3799729347,1.3042399287,0.2486488729,0.4650743300,-0.1119873524,-0.0258939150,-2.4919602871,0.2016764491,-3.2023157337,1.0000000000
8,-1.2000000000,-0.8982034922,-0.1438748538,-1.4193410873,1.0804193467,0.1423819014,0.1147104300,-0.0654136017,-0.0074339982,-1.4847546890,0.1807229021,-2.2388336095,1.0000000000
8,-0.5500000000,-0.6591557264,-0.0677343830,-0.7120445371,0.7645819411,0.0667446798,0.0134301200,-0.0268425290,-0.0016863061,-0.7388870660,0.1044365114,-1.3495968971,1.0000000000
8,0.1000000000,-0.4857007265,-0.0341572054,-0.3870620728,0.5407877974,0.0335308986,0.0015050900,-0.0126659693,-0.0005817583,-0.3997280421,0.0544607642,-0.8642018348,1.0000000000
8,0.7500000000,-0.3609934747,-0.0182515904,-0.2240399420,0.3885937594,0.0178032220,0.0001583900,-0.0072735255,-0.0002399252,-0.2313134675,0.0271519162,-0.5834881794,1.0000000000
9,-1.8000000000,-0.7915742993,-4.5523591042,-190.1877441406,-133.8075162768,4.7713691741,386.2651861400,115.1322402954,-18.9541676814,-75.0555038452,-134.3800805062,152.5315075938,1.0000000000
9,-1.5375000000,-2.4947733879,-2.6584506035,-97.0613021851,-65.2218022346,3.2217223644,200.0046282900,47.0428123474,-10.1574883225,-50.0184898376,-67.1533038616,67.5221316578,1.0000000000
9,-1.2750000000,-2.9551448822,-1.6459319592,-53.3455123901,-29.4934291840,1.9578433931,99.6402654700,19.5712947845,-5.0839721750,-33.7742176056,-32.1366626322,24.0443390557,1.0000000000
9,-1.0125000000,-2.8264963627,-1.0524085760,-31.3710346222,-12.1496999264,1.1293448582,48.2584585600,8.2989053726,-2.4109402280,-23.0721292496,-14.8992600068,3.9972230621,1.0000000000
9,-0.7500000000,-2.4703369141,-0.6882270575,-19.4847507477,-4.2298717499,0.6585279647,22.9572750400,3.5673208237,-1.1144110133,-15.9174299240,-6.7299077567,-3.9630371617,1.0000000000
9,-0.2250000000,-1.6838175058,-0.3106242120,-8.4372291565,0.4814286232,0.2625197321,5.0873377000,0.6530032754,-0.2410184058,-7.7842258811,-1.2504933625,-6.1828409372,1.0000000000
9,0.3000000000,-1.0858012438,-0.1493875682,-4.0589132309,0.9598434716,0.1259587668,1.1213711100,0.1061352491,-0.0543051331,-3.9527779818,-0.1493865736,-4.2702870606,1.0000000000
9,0.8250000000,-0.6909331679,-0.0761499926,-2.1095068455,0.7496276274,0.0655037481,0.2446827100,0.0107901907,-0.0121394718,-2.0987166548,0.0480482150,-2.5852085519,1.0000000000
9,1.3500000000,-0.4394502342,-0.0409145802,-1.1678798199,0.5118558034,0.0351097323,0.0520060000,-0.0022752974,-0.0026323788,-1.1701551173,0.0666007213,-1.5345457288,1.0000000000
9,2.1375000000,-0.2237921506,-0.0175427776,-0.5304248333,0.2769098617,0.0144163566,0.0047320200,-0.0028198890,-0.0002712667,-0.5332447223,0.0499912901,-0.7201276010,1.0000000000
9,2.9250000000,-0.1137094721,-0.0081879683,-0.2649726868,0.1513881646,0.0062895867,0.0003865100,-0.0024849966,-0.0000333947,-0.2674576833,0.0357803109,-0.3532216950,1.0000000000
9,3.7125000000,-0.0564726070,-0.0040971334,-0.1428461671,0.0848237630,0.0029093670,0.0000276400,-0.0021986251,-0.0000150358,-0.1450447922,0.0271633896,-0.1784385368,1.0000000000
10,-4.6000000000,-8.9066715240,-12.7979164124,-663.5013427734,-571.8815975189,16.1021075249,1544.3278747400,456.9681701660,-27.8477596538,-206.5331726074,-577.4840779305,710.7583218965,1.0000000000
10,-4.2916670000,-4.4818639755,-8.8785152435,-358.9386596680,-307.3202600479,15.1040997505,851.1354571300,222.8098754883,-25.7590302638,-136.1287841797,-305.5765395164,370.3106955191,1.0000000000
10,-3.9833330000,-4.6782875061,-6.9116625786,-213.8505706787,-161.8889122009,11.3929915428,471.7029518600,122.3265151978,-20.9254280530,-91.5240554810,-162.0858707428,185.5776640948,1.0000000000
10,-3.6750000000,-5.8619561195,-5.3742222786,-129.7198181152,-82.8133673668,7.8222882748,260.9247589700,67.8689956665,-15.2846321453,-61.8508224487,-86.2272574902,86.3258718943,1.0000000000
10,-3.3666670000,-6.4190874100,-3.8298079967,-75.6549606323,-39.7109632492,4.8804255724,140.4510575900,34.0861663818,-9.7613103494,-41.5687942505,-45.0794330835,33.7926200725,1.0000000000
10,-2.7500000000,-5.2756648064,-1.5288326740,-24.3036823273,-5.2608199120,1.5515855886,34.5742131500,5.9297842979,-2.6214716691,-18.3738980293,-10.5137318037,-3.7393848106,1.0000000000
10,-2.1333330000,-3.4162192345,-0.5509121418,-8.7333440781,1.7465342283,0.5107980520,6.7571778100,0.6259055138,-0.4683663319,-8.1074385643,-1.7097990960,-7.4955579084,1.0000000000
10,-1.5166670000,-2.0745444298,-0.2074195743,-3.6880593300,2.0708482421,0.2041906554,1.1158702600,-0.0169343390,-0.0691402583,-3.7049936689,-0.0069251065,-4.9471530117,1.0000000000
10,-0.9000000000,-1.2610231638,-0.0846465975,-1.7575488091,1.4569754899,0.0919180000,0.1672408700,-0.0427282304,-0.0102630532,-1.8002770394,0.2032237286,-2.7857450558,1.0000000000
10,0.0250000000,-0.6280388832,-0.0256668534,-0.6759576797,0.7721490562,0.0313663566,0.0088387800,-0.0190407541,-0.0008271113,-0.6949984338,0.1498096762,-1.1908829016,1.0000000000
10,0.9500000000,-0.3362297118,-0.0091271177,-0.2981617153,0.4239262193,0.0120591656,0.0004312100,-0.0093527706,-0.0001156261,-0.3075144859,0.0906285555,-0.5619271534,1.0000000000
